                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2469,                 1.3769,                 1.0432,                 0.5346,                0.21175,                0.23542,                0.15195,                 1.6371,                 1.0333,                0.94156,               0.008878,               0.008878,               0.008878
                     37,                 1.2428,                  1.367,                 1.0391,                0.36529,                0.20359,                0.22694,                0.14352,                 1.6431,                 1.0658,                0.94131,               0.008845,               0.008845,               0.008845
                     38,                  1.233,                 1.3675,                 1.0385,                0.23287,                0.32291,                0.19385,                0.11089,                  1.632,                 1.0256,                0.94365,               0.008812,               0.008812,               0.008812
                     39,                 1.2354,                 1.3618,                 1.0374,                0.36455,                0.20026,                0.23278,                0.14007,                 1.6491,                 1.0316,                0.94695,               0.008779,               0.008779,               0.008779
                     40,                 1.2356,                 1.3577,                 1.0378,                0.24517,                0.30298,                0.22919,                0.14291,                 1.6355,                 1.0233,                0.94151,               0.008746,               0.008746,               0.008746
                     41,                 1.2346,                 1.3559,                 1.0368,                0.26344,                0.30348,                0.23578,                0.15419,                 1.6027,                 1.0057,                0.93475,               0.008713,               0.008713,               0.008713
                     42,                   1.22,                 1.3569,                 1.0348,                0.28479,                0.24596,                0.23173,                0.14462,                 1.6163,                 1.0142,                0.94078,                0.00868,                0.00868,                0.00868
                     43,                 1.2279,                 1.3571,                 1.0346,                0.23422,                0.31085,                0.19746,                0.12037,                 1.6399,                 1.0083,                0.95127,               0.008647,               0.008647,               0.008647
                     44,                 1.2169,                 1.3497,                 1.0343,                0.28561,                0.25503,                0.22871,                0.13766,                 1.6346,                 1.0681,                0.94778,               0.008614,               0.008614,               0.008614
                     45,                 1.2305,                 1.3442,                 1.0354,                0.27472,                0.30786,                0.25169,                0.15794,                 1.6238,                 1.0243,                0.94479,               0.008581,               0.008581,               0.008581
                     46,                 1.2153,                 1.3404,                 1.0339,                 0.2609,                0.32427,                0.24043,                0.15137,                 1.6094,                 1.0111,                0.93745,               0.008548,               0.008548,               0.008548
