                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1873,                 1.2522,                 1.2065,                0.33496,                0.30796,                0.29836,                0.19357,                 1.4492,                0.95294,                 1.1102,               0.008911,               0.008911,               0.008911
                     36,                 1.1912,                 1.2646,                 1.2114,                0.51544,                 0.2546,                0.32496,                0.21929,                 1.4316,                0.96578,                 1.1038,               0.008878,               0.008878,               0.008878
                     37,                   1.19,                 1.2471,                 1.2042,                 0.4071,                 0.2939,                0.31142,                0.21277,                 1.4344,                 0.9801,                 1.1062,               0.008845,               0.008845,               0.008845
                     38,                 1.1807,                 1.2466,                 1.2026,                 0.4092,                  0.252,                0.27473,                0.17529,                  1.442,                0.96602,                 1.1026,               0.008812,               0.008812,               0.008812
                     39,                 1.1819,                 1.2409,                 1.2022,                0.47118,                0.24246,                0.26435,                0.17229,                 1.4154,                0.95476,                 1.0994,               0.008779,               0.008779,               0.008779
                     40,                 1.1777,                 1.2353,                 1.2039,                0.54919,                0.22493,                0.27481,                0.18254,                 1.4284,                0.95737,                  1.099,               0.008746,               0.008746,               0.008746
                     41,                 1.1783,                 1.2312,                 1.2017,                0.22772,                0.45112,                0.27117,                0.17118,                 1.4267,                0.93435,                 1.1033,               0.008713,               0.008713,               0.008713
                     42,                 1.1732,                 1.2372,                 1.1999,                0.45362,                0.33148,                0.27523,                0.17391,                 1.4177,                0.93729,                 1.0962,                0.00868,                0.00868,                0.00868
                     43,                 1.1765,                 1.2352,                 1.1975,                0.41231,                0.41691,                0.33882,                0.21959,                 1.4097,                0.90771,                 1.0926,               0.008647,               0.008647,               0.008647
                     44,                 1.1677,                 1.2301,                 1.1964,                0.44317,                0.28109,                0.33471,                0.22451,                 1.4157,                0.93454,                 1.0958,               0.008614,               0.008614,               0.008614
                     45,                 1.1829,                 1.2234,                 1.2023,                0.25896,                0.46639,                0.28657,                0.18055,                 1.4198,                0.93342,                 1.0974,               0.008581,               0.008581,               0.008581
                     46,                 1.1642,                 1.2214,                 1.1952,                0.56925,                0.26234,                0.26647,                0.16501,                 1.4032,                  0.925,                 1.0936,               0.008548,               0.008548,               0.008548
                     47,                 1.1654,                 1.2155,                 1.1926,                0.45828,                0.30178,                0.28164,                0.17913,                 1.4178,                0.92085,                 1.0959,               0.008515,               0.008515,               0.008515
                     48,                 1.1666,                  1.221,                  1.197,                0.24997,                0.49628,                 0.3096,                0.20051,                 1.4116,                0.92609,                 1.0945,               0.008482,               0.008482,               0.008482
                     49,                 1.1654,                 1.2231,                 1.1918,                0.40061,                0.33778,                0.30635,                0.20081,                 1.4102,                0.91037,                 1.0929,               0.008449,               0.008449,               0.008449
                     50,                 1.1652,                 1.2073,                 1.1957,                0.42246,                0.44262,                0.30476,                0.20038,                  1.395,                0.90054,                 1.0897,               0.008416,               0.008416,               0.008416
                     51,                 1.1658,                 1.2087,                 1.1939,                0.46569,                0.31797,                0.29821,                0.19426,                 1.4033,                0.92163,                 1.0911,               0.008383,               0.008383,               0.008383
                     52,                 1.1637,                 1.2068,                 1.1926,                0.31933,                0.50499,                0.30572,                0.20128,                  1.416,                0.91508,                 1.0925,                0.00835,                0.00835,                0.00835
                     53,                 1.1618,                 1.2084,                 1.1898,                0.27022,                0.39381,                0.30522,                 0.1943,                 1.4012,                0.90836,                 1.0889,               0.008317,               0.008317,               0.008317
                     54,                 1.1589,                 1.2003,                 1.1901,                0.45242,                 0.3557,                0.28253,                0.18218,                 1.4002,                0.91364,                 1.0877,               0.008284,               0.008284,               0.008284
                     55,                 1.1574,                 1.2003,                 1.1929,                0.53201,                0.30527,                0.29149,                 0.1847,                 1.4098,                 0.9195,                 1.0937,               0.008251,               0.008251,               0.008251
                     56,                 1.1537,                 1.2036,                 1.1893,                0.47336,                0.30879,                0.27895,                0.18014,                 1.3943,                0.89785,                 1.0907,               0.008218,               0.008218,               0.008218
                     57,                 1.1574,                 1.2022,                 1.1878,                0.54227,                0.26063,                0.29775,                0.19516,                 1.4105,                0.92256,                 1.0941,               0.008185,               0.008185,               0.008185
                     58,                 1.1495,                 1.1859,                 1.1822,                0.38729,                0.44389,                 0.3112,                0.20403,                 1.4037,                0.89984,                 1.0913,               0.008152,               0.008152,               0.008152
                     59,                 1.1539,                 1.1933,                  1.185,                0.45373,                0.30608,                0.31748,                0.21041,                 1.3947,                0.89977,                   1.09,               0.008119,               0.008119,               0.008119
                     60,                 1.1526,                 1.1863,                 1.1831,                0.51818,                0.31294,                0.27538,                0.17344,                 1.3948,                0.89692,                 1.0873,               0.008086,               0.008086,               0.008086
                     61,                 1.1504,                 1.1815,                  1.183,                0.40998,                0.36508,                0.27998,                0.17822,                 1.3933,                0.90261,                 1.0868,               0.008053,               0.008053,               0.008053
