                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1934,                 1.2657,                 1.2142,                0.31733,                0.41864,                0.29229,                0.19363,                 1.4399,                0.94986,                 1.1039,               0.008878,               0.008878,               0.008878
                     37,                 1.1924,                 1.2476,                 1.2078,                0.38623,                0.41558,                0.31154,                0.20966,                 1.4327,                0.93886,                 1.1065,               0.008845,               0.008845,               0.008845
                     38,                 1.1825,                 1.2514,                 1.2063,                0.52925,                0.26994,                 0.3039,                0.20686,                 1.4224,                0.92854,                  1.104,               0.008812,               0.008812,               0.008812
                     39,                  1.183,                  1.244,                 1.2058,                0.55492,                0.28338,                0.29799,                0.19569,                 1.4158,                 0.9364,                 1.1009,               0.008779,               0.008779,               0.008779
                     40,                 1.1795,                 1.2381,                 1.2086,                0.48554,                0.27501,                0.24462,                0.15524,                  1.433,                0.94301,                 1.1085,               0.008746,               0.008746,               0.008746
                     41,                 1.1819,                 1.2339,                 1.2052,                 0.4074,                0.32604,                0.28373,                 0.1819,                 1.4217,                0.90075,                 1.1038,               0.008713,               0.008713,               0.008713
                     42,                  1.177,                 1.2397,                 1.2048,                0.42527,                0.27045,                0.27822,                0.17469,                 1.4184,                0.91693,                 1.0998,                0.00868,                0.00868,                0.00868
                     43,                 1.1781,                 1.2358,                  1.201,                 0.5266,                0.30096,                0.27833,                0.18351,                 1.4176,                0.90402,                 1.0965,               0.008647,               0.008647,               0.008647
                     44,                  1.172,                 1.2303,                 1.1999,                0.32624,                0.51248,                0.29664,                0.19903,                 1.4179,                0.93782,                 1.0975,               0.008614,               0.008614,               0.008614
                     45,                 1.1878,                 1.2284,                 1.2081,                0.49828,                0.33181,                0.36203,                0.25143,                 1.4166,                0.91516,                 1.0953,               0.008581,               0.008581,               0.008581
                     46,                 1.1667,                 1.2216,                 1.1979,                0.48578,                0.26644,                0.27762,                0.17393,                 1.4094,                0.91879,                 1.0964,               0.008548,               0.008548,               0.008548
                     47,                 1.1692,                  1.219,                  1.197,                0.47589,                0.35366,                0.32159,                0.22003,                 1.4089,                0.90331,                 1.0935,               0.008515,               0.008515,               0.008515
                     48,                 1.1698,                 1.2234,                 1.2018,                0.27723,                0.48936,                0.27497,                0.17656,                 1.4134,                0.92387,                 1.0958,               0.008482,               0.008482,               0.008482
                     49,                 1.1676,                 1.2207,                 1.1951,                0.35231,                0.56169,                0.35682,                0.24189,                 1.4142,                0.89974,                 1.0954,               0.008449,               0.008449,               0.008449
                     50,                 1.1684,                 1.2086,                 1.1999,                0.25973,                0.37523,                0.32072,                0.20831,                 1.3945,                0.90678,                 1.0903,               0.008416,               0.008416,               0.008416
                     51,                 1.1666,                 1.2082,                 1.1979,                0.35683,                0.39442,                 0.2884,                0.18748,                 1.4157,                0.90186,                  1.098,               0.008383,               0.008383,               0.008383
                     52,                 1.1681,                 1.2075,                 1.1983,                0.48751,                0.30652,                0.28558,                0.18714,                 1.4081,                0.90249,                 1.0939,                0.00835,                0.00835,                0.00835
                     53,                 1.1655,                 1.2104,                 1.1946,                 0.2768,                 0.3794,                0.26025,                 0.1655,                 1.4071,                0.89813,                 1.0944,               0.008317,               0.008317,               0.008317
                     54,                 1.1621,                 1.2019,                 1.1946,                0.37068,                0.42779,                0.32495,                0.22028,                 1.4112,                0.88603,                 1.0928,               0.008284,               0.008284,               0.008284
                     55,                 1.1596,                 1.2034,                 1.1975,                0.30989,                0.51942,                0.31051,                0.19987,                 1.4177,                0.89326,                 1.0964,               0.008251,               0.008251,               0.008251
                     56,                  1.155,                 1.2033,                 1.1934,                0.54032,                0.31426,                0.30468,                0.19877,                 1.4012,                0.90107,                 1.0911,               0.008218,               0.008218,               0.008218
                     57,                 1.1611,                 1.2066,                 1.1931,                  0.405,                0.41025,                0.32806,                0.21286,                 1.4114,                0.90746,                 1.0967,               0.008185,               0.008185,               0.008185
                     58,                 1.1529,                 1.1902,                 1.1876,                 0.5699,                0.31761,                0.34805,                0.23186,                 1.3975,                0.89643,                 1.0967,               0.008152,               0.008152,               0.008152
                     59,                 1.1574,                 1.1941,                 1.1909,                0.50121,                0.35553,                0.30933,                0.20223,                 1.4015,                0.89277,                 1.0929,               0.008119,               0.008119,               0.008119
                     60,                 1.1567,                 1.1919,                 1.1896,                0.36128,                0.41528,                0.32744,                0.21284,                 1.4019,                 0.8794,                 1.0948,               0.008086,               0.008086,               0.008086
                     61,                  1.152,                 1.1821,                 1.1876,                0.53958,                0.31962,                0.35073,                0.23755,                  1.397,                0.90122,                 1.0938,               0.008053,               0.008053,               0.008053
                     62,                 1.1523,                 1.1842,                 1.1908,                0.53208,                 0.3275,                0.29124,                0.18826,                 1.3991,                0.88645,                 1.0933,                0.00802,                0.00802,                0.00802
                     63,                 1.1521,                 1.1809,                 1.1888,                0.51879,                0.30116,                0.30107,                0.19371,                 1.4016,                0.89711,                 1.0919,               0.007987,               0.007987,               0.007987
                     64,                 1.1519,                 1.1796,                 1.1831,                0.51046,                0.29725,                0.30217,                0.19497,                 1.4046,                0.88921,                 1.0937,               0.007954,               0.007954,               0.007954
                     65,                 1.1468,                 1.1851,                 1.1919,                0.49986,                0.30214,                0.30801,                0.20271,                 1.4018,                0.88342,                  1.095,               0.007921,               0.007921,               0.007921
                     66,                 1.1396,                  1.179,                 1.1856,                0.50447,                0.30073,                0.30714,                0.19931,                 1.3981,                0.89298,                 1.0915,               0.007888,               0.007888,               0.007888
                     67,                 1.1448,                 1.1846,                 1.1853,                0.23134,                0.43543,                0.30458,                0.19688,                 1.3941,                0.87915,                 1.0927,               0.007855,               0.007855,               0.007855
