                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2849,                 3.7461,                  3.345,                 0.1593,                0.03651,                0.00466,                0.00119,                 3.9062,                 3.7858,                  2.038,              0.0033265,              0.0033265,              0.0033265
                      2,                 2.5196,                 2.2921,                 1.7519,                0.04804,                0.07212,                0.02534,                0.00744,                 3.0434,                 2.0208,                 1.3182,              0.0066378,              0.0066378,              0.0066378
                      3,                  2.092,                 2.0495,                 1.3994,                0.22656,                0.07732,                 0.0588,                 0.0293,                 2.5534,                 1.9668,                 1.1752,              0.0099272,              0.0099272,              0.0099272
                      4,                 1.8579,                 1.9162,                 1.2721,                0.22947,                0.16891,                0.09096,                0.04125,                 2.2768,                 1.7957,                 1.0867,               0.009901,               0.009901,               0.009901
                      5,                 1.7056,                   1.79,                 1.2018,                0.36536,                0.10069,                 0.0784,                 0.0326,                 2.1515,                 1.6103,                 1.0502,               0.009901,               0.009901,               0.009901
                      6,                 1.6099,                 1.7218,                 1.1657,                0.43237,                0.17418,                0.10169,                0.04909,                 2.0554,                 1.4362,                 1.0369,               0.009868,               0.009868,               0.009868
                      7,                 1.5556,                 1.6803,                 1.1447,                0.25534,                0.17417,                0.09832,                0.04278,                  1.998,                 1.3655,                 1.0398,               0.009835,               0.009835,               0.009835
                      8,                 1.5154,                 1.6414,                 1.1295,                0.35394,                0.17093,                0.15002,                0.07656,                 1.9192,                 1.3096,                 1.0036,               0.009802,               0.009802,               0.009802
                      9,                 1.4729,                 1.6052,                 1.1172,                0.42063,                0.18265,                0.11054,                0.05765,                 1.9394,                 1.3063,                 1.0142,               0.009769,               0.009769,               0.009769
                     10,                 1.4388,                 1.5816,                 1.1107,                0.26005,                0.14245,                0.10567,                0.05121,                 1.8894,                 1.3362,                0.99084,               0.009736,               0.009736,               0.009736
                     11,                 1.4339,                 1.5687,                 1.1025,                0.25874,                0.14687,                0.13347,                0.06908,                 1.8942,                 1.2393,                 1.0005,               0.009703,               0.009703,               0.009703
                     12,                 1.4053,                 1.5475,                 1.0971,                0.31174,                0.14492,                0.12101,                0.05951,                  1.849,                 1.2006,                0.98946,                0.00967,                0.00967,                0.00967
                     13,                 1.3866,                 1.5339,                 1.0874,                0.35403,                0.17652,                0.22046,                0.13572,                 1.8089,                 1.1758,                0.97396,               0.009637,               0.009637,               0.009637
                     14,                 1.3792,                 1.5156,                 1.0848,                0.44805,                0.19646,                0.13289,                0.07277,                 1.8052,                 1.2616,                0.98291,               0.009604,               0.009604,               0.009604
                     15,                 1.3605,                 1.5005,                  1.076,                0.44687,                 0.2648,                0.21181,                0.12399,                 1.8101,                 1.1528,                0.98719,               0.009571,               0.009571,               0.009571
                     16,                 1.3462,                 1.4958,                 1.0746,                0.28662,                 0.2265,                0.20659,                 0.1244,                 1.7835,                 1.1191,                0.97481,               0.009538,               0.009538,               0.009538
                     17,                 1.3477,                 1.4825,                 1.0741,                0.13661,                0.22443,                0.15528,                0.08154,                 1.7869,                 1.2879,                0.97766,               0.009505,               0.009505,               0.009505
                     18,                  1.335,                  1.479,                  1.073,                0.28705,                0.22192,                0.16672,                0.09445,                 1.7505,                 1.1792,                0.96318,               0.009472,               0.009472,               0.009472
                     19,                 1.3226,                 1.4614,                 1.0679,                 0.2681,                0.23434,                0.19752,                0.11701,                 1.7732,                 1.1556,                0.96859,               0.009439,               0.009439,               0.009439
                     20,                 1.3163,                 1.4539,                 1.0666,                0.27922,                 0.2307,                0.21069,                0.12622,                 1.7286,                 1.1251,                0.95818,               0.009406,               0.009406,               0.009406
                     21,                 1.3041,                 1.4465,                 1.0606,                0.28137,                0.22889,                0.21904,                0.13146,                 1.7212,                 1.1307,                0.96827,               0.009373,               0.009373,               0.009373
                     22,                 1.3006,                 1.4373,                   1.06,                0.31388,                0.19666,                0.17361,                0.09552,                 1.7284,                 1.1238,                0.95671,                0.00934,                0.00934,                0.00934
                     23,                 1.2942,                 1.4359,                 1.0602,                0.32923,                 0.1981,                0.21116,                0.12542,                 1.7157,                 1.0562,                0.95673,               0.009307,               0.009307,               0.009307
